SimPoint	BBV	INS	BR	PROC
960.9768131	1220.665977	994.2616667	1108.539725	1499.847106
954.5994456	1219.731646	1008.95837	1106.703652	1459.222429
951.2842242	1229.208956	991.8281113	1103.221432	1457.23703
997.7592173	1260.026547	1016.20193	1132.348203	1521.702677
981.5268953	1255.567029	1006.881848	1119.841654	1504.504009
950.0143772	1211.475099	987.5161666	1105.335489	1450.050708
965.1740434	1223.013762	1011.05824	1110.879635	1477.103081
952.9217802	1215.258244	989.41469	1105.454868	1453.005595
950.0276792	1211.328918	988.064634	1102.523257	1497.674412
986.5044162	1241.69352	1009.796137	1135.291061	1513.822262
961.5791091	1243.210022	996.0575284	1124.929468	1461.64418
992.1181376	1251.622882	1015.374376	1132.932643	1502.448023
950.5608498	1212.837883	987.8636462	1102.888474	1450.632585
950.0355507	1236.121261	1019.820481	1103.492208	1450.054782
950.0143897	1215.4483	994.3049987	1107.326314	1450.029063
965.7918229	1227.103779	998.2103176	1111.252392	1495.883129
951.5567715	1223.681747	988.4545794	1103.73004	1456.574987
966.3150852	1223.946053	1011.048623	1113.174323	1466.347693
951.1339533	1212.139251	1005.489681	1105.759054	1451.185491
950.1586284	1231.065343	1008.372631	1105.780752	1450.224488
950.0177995	1225.580559	987.5197682	1104.558643	1450.023985
950.7078608	1216.019806	987.9418423	1102.91511	1450.776328
962.5564796	1221.010563	995.059473	1109.995435	1462.615248
952.805252	1229.62861	998.2331877	1104.050246	1452.890864
955.2102837	1233.145554	998.205333	1109.528165	1464.646226
954.7266448	1228.924386	991.2541669	1105.105479	1457.134626
951.6272673	1213.868148	988.5706755	1107.702183	1451.894103
953.6703726	1214.168735	999.5710617	1105.852416	1475.559146
950.4317573	1224.198433	987.7629257	1119.30344	1451.605841
984.9897951	1263.33567	1008.931178	1135.215092	1485.110782
950.0479563	1223.587947	987.5723315	1105.321588	1450.064212
997.7491513	1269.697919	1040.797236	1128.814644	1500.624498
950.0345465	1212.406549	988.1891112	1118.667982	1475.815269
950.0071147	1227.466265	988.9432035	1122.159668	1450.012198
950.1879907	1225.239221	991.7904044	1103.03514	1468.364523
955.9765332	1216.52454	991.3426731	1111.723227	1455.981308
950.6144963	1212.012916	987.8722515	1102.948896	1450.819957
992.7479331	1245.818988	1039.667124	1128.461472	1494.451316
962.2009377	1223.711636	996.0275229	1109.221267	1484.80912
955.9975448	1215.997313	992.2088177	1114.299754	1464.743248
996.1730561	1247.131053	1015.207564	1130.147189	1496.320688
954.6577987	1222.326982	991.2069211	1105.103373	1482.137387
961.6852201	1220.501726	994.8020357	1109.157498	1463.716488
954.4020474	1217.315109	1016.976792	1104.924966	1489.471529
950.0060288	1219.689886	988.94487	1103.904084	1451.594901
992.1152423	1244.173329	1012.817354	1125.730421	1493.391087
972.7562899	1234.72185	1001.766974	1115.040537	1490.964142
959.4768615	1221.654321	1023.530775	1120.424102	1476.609739
950.1909697	1213.354608	987.8013266	1121.734149	1450.429774
950.588999	1218.313732	989.4828849	1102.827197	1477.069858
950.3164366	1234.341936	991.5061465	1114.464158	1450.392846
952.516381	1236.294449	989.0367121	1105.299475	1469.647848
950.6138907	1211.731135	995.8255203	1105.328847	1499.85088
950.0289279	1211.703117	990.7414217	1102.527632	1452.407175
950.2143062	1212.173707	989.2752135	1102.901221	1450.278114
999.8995169	1250.203092	1017.509886	1129.95588	1499.950558
955.28774	1235.64249	1018.485562	1105.540185	1458.369133
950.7738115	1222.423003	1009.876822	1120.860402	1451.935209
951.8484448	1212.883011	988.635007	1106.208666	1482.615153
950.0881527	1211.530825	992.9113422	1102.552447	1454.611752
994.0009145	1246.571978	1024.068464	1129.580613	1520.495439
954.7502369	1214.950936	990.4407288	1105.128822	1454.783226
950.0033778	1233.070207	987.5192477	1102.53738	1463.319951
981.7326576	1243.756824	1029.584881	1124.71717	1508.416905
950.1755754	1226.496367	1006.961799	1102.646462	1478.515343
958.1296151	1230.642275	992.978388	1107.026446	1458.137205
950.0132437	1211.353155	987.6268749	1102.596638	1462.025059
950.0070011	1212.876209	996.5607039	1104.038046	1462.391066
950.2764482	1211.65997	987.669243	1102.907148	1462.826655
957.989708	1233.679791	992.296396	1109.094365	1475.622729
950.0723568	1220.904552	988.0781626	1105.397184	1450.116098
960.9220297	1221.821077	994.2940683	1108.510041	1477.383888
991.112296	1243.12211	1012.619988	1125.998477	1491.300343
982.9714796	1250.189137	1035.499366	1120.654971	1483.038978
950.844372	1212.226841	988.0496187	1103.737129	1486.611741
950.0476126	1215.272407	987.7539882	1102.967587	1489.787993
955.9171177	1235.855863	1008.574992	1105.770736	1474.88109
996.3253763	1248.089136	1023.160842	1129.343381	1520.344846
965.7766994	1223.738245	996.9776408	1111.180859	1465.781779
989.3318545	1241.995556	1012.169695	1124.22716	1489.345422
950.0359484	1233.217236	1014.839315	1102.524254	1453.396766
961.6972639	1226.01287	1012.492737	1109.622019	1464.678255
950.1446366	1211.394741	996.9102851	1108.904181	1451.920756
950.0049139	1212.778369	994.2789631	1103.609952	1477.237614
950.4346581	1219.772548	989.077374	1103.162434	1454.012467
973.2974439	1229.831769	1022.791917	1115.362077	1474.385705
950.6013725	1212.090035	987.8739064	1103.41284	1452.313993
981.8979619	1241.945864	1038.738766	1129.024768	1515.136818
950.0041601	1213.7926	996.485439	1110.571945	1463.635602
958.9374991	1239.760271	993.3168948	1108.691388	1459.99534
959.5390261	1218.649401	993.2297778	1113.192378	1459.561022
950.0189647	1227.26692	987.5288871	1102.673072	1450.82644
950.7882696	1216.227604	1015.047701	1106.369692	1472.475889
955.6644337	1215.666148	1020.455302	1107.59209	1459.062657
962.6202849	1221.035862	995.1649722	1113.323066	1463.211739
953.3958441	1213.979755	995.821266	1111.198573	1469.825161
950.1530538	1224.709051	998.1045462	1103.522617	1472.227413
957.7818332	1222.120817	992.1767903	1111.049443	1481.541844
952.1041384	1215.477351	993.421016	1103.699681	1464.881294
951.3554482	1212.3075	1005.652983	1103.247619	1451.425362
950.0527084	1211.316294	987.5342554	1108.099578	1450.067199
999.5077107	1249.621602	1019.957211	1130.329545	1501.424257
950.0755648	1211.376048	988.6924154	1107.504814	1480.24711
977.9182146	1246.332674	1007.36197	1117.882073	1482.912084
950.0056129	1211.370783	987.5206096	1103.131956	1482.341458
950.0413167	1211.2868	987.8315906	1102.808036	1451.835121
964.1096442	1222.186592	1004.258637	1112.100565	1474.274971
950.982076	1227.033375	989.3386644	1110.990654	1451.082208
950.7885562	1211.991739	1006.370299	1112.456867	1450.799447
978.8296263	1235.799949	1004.859336	1123.02561	1479.13236
986.3017748	1240.376911	1014.320708	1122.511542	1504.260822
952.9778616	1213.64995	989.2909138	1104.817113	1452.982607
955.5585238	1215.587949	990.8550434	1105.561935	1455.635747
950.3293809	1215.732511	993.448875	1112.033673	1450.617303
975.5298078	1231.03774	1002.958327	1123.856131	1521.132111
986.6800524	1243.089847	1009.90769	1123.423768	1486.707488
953.1548192	1235.49996	989.4076304	1104.237716	1491.197011
950.1555168	1218.749402	987.732087	1102.634776	1458.6583
954.8364238	1227.418124	1010.005163	1106.964339	1456.96573
993.5306833	1244.993075	1013.621122	1137.811223	1493.605978
950.0443844	1211.428873	998.9328321	1114.080412	1450.057635
950.0481251	1211.294252	991.6897127	1103.660675	1451.558454
950.1252508	1212.08783	987.9117742	1119.607547	1450.144734
968.942878	1227.337964	1002.565711	1129.799853	1468.978455
951.0553299	1225.440007	996.1090392	1103.084628	1451.08591
950.0059397	1211.285197	1008.528879	1112.938831	1450.053399
961.7618908	1245.354853	1015.688198	1112.082401	1462.348012
950.0369339	1211.333452	992.7015476	1102.526946	1450.531323
950.1840496	1233.008537	987.6359256	1102.708724	1478.983334
950.0066774	1211.415865	987.5736154	1103.644346	1450.181482
950.0098207	1211.471059	1015.961801	1104.833116	1450.140734
970.1023293	1227.402799	1004.086544	1113.558554	1473.46664
950.1411203	1225.267647	1010.430773	1118.364668	1452.220575
966.4634797	1225.416341	997.3885556	1115.758077	1498.340768
955.025739	1217.758988	990.5318145	1114.591893	1455.154413
950.2083463	1212.911654	987.7483571	1112.452072	1450.425795
954.4843137	1214.733953	990.2072311	1105.992815	1456.650158
987.283807	1240.267326	1010.471339	1123.010233	1488.288038
951.2199078	1213.944378	1015.472658	1117.273972	1451.408673
955.3536841	1219.746772	998.0179921	1106.306844	1459.941466
951.3577166	1216.632885	1000.989005	1103.67071	1498.751734
950.8466408	1211.949162	996.4240505	1120.139644	1463.214593
950.0240748	1211.279423	987.5334456	1102.680244	1456.850009
997.5141716	1248.675871	1019.034109	1128.798536	1497.530585
954.5862326	1214.82805	1006.142128	1106.451759	1456.428924
984.7886438	1258.184013	1015.795058	1121.734081	1485.116951
966.6392641	1230.441702	999.305616	1111.9413	1466.653268
952.7063068	1223.950313	993.577629	1104.209867	1452.853226
951.6591269	1212.544442	988.4982375	1103.506942	1462.630555
956.7347893	1222.919481	991.8361016	1106.932045	1496.556172
952.1292408	1213.334675	990.0015751	1107.414154	1453.083048
954.8017701	1215.354304	990.8211921	1125.117286	1470.038565
986.4845557	1239.546428	1009.443095	1122.725405	1530.034266
950.0039674	1229.506095	995.5582121	1119.801747	1496.52293
964.8422162	1223.725701	996.5396807	1110.686547	1510.497786
